"pmean" "r" "q0.005" "q0.025" "q0.05" "q0.95" "q0.975" "q0.995"
"183" 0.04465532 0.455 0 0 0 0.1622275 0.2084573 0.3027436
"184" 0.04388068 0.4575 0 0 0 0.1603387 0.2070882 0.3031627
"185" 0.04311022 0.46 0 0 0 0.1588563 0.2034815 0.3011837
"186" 0.04240695 0.4625 0 0 0 0.1573472 0.2044454 0.2959237
"187" 0.04173793 0.465 0 0 0 0.1556577 0.203047 0.3015433
"188" 0.04101893 0.4675 0 0 0 0.1535622 0.2001385 0.2999641
"189" 0.04035249 0.47 0 0 0 0.1510484 0.1992363 0.2988959
"190" 0.039652 0.4725 0 0 0 0.1501768 0.1968931 0.2940098
"191" 0.03904469 0.475 0 0 0 0.1482304 0.1955286 0.288153
"192" 0.03844932 0.4775 0 0 0 0.1471693 0.1937794 0.2820419
"193" 0.03792878 0.48 0 0 0 0.1455121 0.1920251 0.2832467
"194" 0.03734521 0.4825 0 0 0 0.1440804 0.1895354 0.2872566
"195" 0.03675315 0.485 0 0 0 0.1425792 0.1887313 0.2845339
"196" 0.03612511 0.4875 0 0 0 0.1422025 0.1879087 0.2825343
"197" 0.03551581 0.49 0 0 0 0.1407437 0.1875572 0.2818721
"198" 0.03498387 0.4925 0 0 0 0.139886 0.1876898 0.2812075
"199" 0.03439302 0.495 0 0 0 0.1381604 0.1852841 0.2809216
"200" 0.03380445 0.4975 0 0 0 0.1384418 0.1830966 0.2799589
"201" 0.03323507 0.5 0 0 0 0.1356162 0.1812405 0.2763169
